review_name,review_name_url,review_short_review,review_short_review_url,review_place_and_date,review_full_review,review_rating,review_rating_url
Mrs M.,https://www.amazon.com/gp/profile/amzn1.account.AFNZ3VNMCWHDKGNR6GXS556MSGQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,A must have for crafts,https://www.amazon.com/gp/customer-reviews/R1EGV3IE4JR9XU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on August 5, 2022",I love this little thing. It's taken my diy & crafting to another level!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1EGV3IE4JR9XU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Mel Guzman,https://www.amazon.com/gp/profile/amzn1.account.AFEO3T4N64TZ4TOHBZEO5PXFJQGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Useful,https://www.amazon.com/gp/customer-reviews/R3K46UWLNJFEEJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 21, 2022","You don't always need it but it helps to have one on hand and they are overpriced and the store so i like the price and size. Does what it's supposed to, would recommend.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3K46UWLNJFEEJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
rozell mccleskey,https://www.amazon.com/gp/profile/amzn1.account.AF5EUS46JKZVK3HE677HKUCVKXEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Love it thank you,https://www.amazon.com/gp/customer-reviews/R1XF11AV31W1Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 27, 2022",,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1XF11AV31W1Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Kristina Berrios,https://www.amazon.com/gp/profile/amzn1.account.AGWZEBR4QX2RZWER4JDAUIW7SACA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great,https://www.amazon.com/gp/customer-reviews/R19TQQIF8128JY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 26, 2022",Works great,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R19TQQIF8128JY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Michelle,https://www.amazon.com/gp/profile/amzn1.account.AE6PKJNAILLKNEB734JSHAUMNXPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Awesome glue gun,https://www.amazon.com/gp/customer-reviews/R9YAO1AJWT2US/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on June 30, 2022",What sold me on this glue gun was the price. And once it got here it was exactly what I needed. Easy to use and easy to reload and it came with plenty of glue sticks.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R9YAO1AJWT2US/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Woody Wan,https://www.amazon.com/gp/profile/amzn1.account.AGMIMQ6O5Y4KPWNGZPAXX6OOCVTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Inexpensive but not suitable for rubber material,https://www.amazon.com/gp/customer-reviews/R2PHKMR81GVVR8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 17, 2022",I find this glue gun very easy to use and can satisfy most of my usage. But it can not have good effect on rubber,4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2PHKMR81GVVR8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AGC57Q3N2KF7DCV6GQVJBBOELBHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Perfect little glue gun,https://www.amazon.com/gp/customer-reviews/R3QYYV29OBXSJ9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on September 7, 2022",Just needed a new glue gun but doesn't do alot of work. Sometimes the glue isn't hot enough when it comes out so it doesn't help.,3.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3QYYV29OBXSJ9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Pedro M.,https://www.amazon.com/gp/profile/amzn1.account.AE437TAUMXFMQDXKT66HMTFOT6KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Bad choice on my part,https://www.amazon.com/gp/customer-reviews/RYX1K74LUDTET/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on January 26, 2022","This gun works very well, only I bought it to work on a Railroad Layout and it doesn't work well, the silicone stick (4""long) wears out very quickly, it's a problem, I have another bigger gun and thanks to that I was able to advance in the construction phase , perhaps in the detail phase it can work well, but not in the big jobs stage. This gun is for mini jobs, for small repairs of small objects, but for something medium-sized and up, it is very laborious with the sticks those small format silicone ones, 4"" long. My choice was not the right one, the gun works well, but it did not solve my problem.",4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RYX1K74LUDTET/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Jeffrey Dippong,https://www.amazon.com/gp/profile/amzn1.account.AF4N3VE7NBMK7IZ2FGDVUV6XPSEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Glue sticks wouldn't grip in the gun,https://www.amazon.com/gp/customer-reviews/RZLNG5AELFSZG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on September 7, 2022","The gun wouldn't grip the glue sticks well, and wouldn't advance correctly. I just stopped using it.",3.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RZLNG5AELFSZG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Annabel Cohen,https://www.amazon.com/gp/profile/amzn1.account.AHNWMD6IW7YN2Y64LIOQUGLKYVOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great little glue gun,https://www.amazon.com/gp/customer-reviews/R3LG2SYS3UMHOB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 8, 2022",A great glue gun at an unbelievable price. It is perfect for my small project!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3LG2SYS3UMHOB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Emma,https://www.amazon.com/gp/profile/amzn1.account.AFURIT7AAWAYIO2XZT7QHJHWEXCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Works well!,https://www.amazon.com/gp/customer-reviews/R9MILOY41U5D1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 17, 2022",It works very well like any other hot glue gun! It comes with extra glue sticks so I really like that. Hot glue guns usually come with a stand and with this one you can’t move it out of the way but it is sturdy since the stand is permanently in one position. The hot glue gun sometimes ends up with bubbly glue but for the most part it doesn’t get too hot and doesn’t bubble. It also doesn’t create as big of a mess — I think the stringiness after using the glue gun is pretty minimal compared to other glue guns.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R9MILOY41U5D1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Kenyatta Witherspoon,https://www.amazon.com/gp/profile/amzn1.account.AHWQAQWYCGCFZCPKXTJUESHVQEBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good Investment,https://www.amazon.com/gp/customer-reviews/R1ZW41UU946SA7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 24, 2022",Good investment for the price,4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1ZW41UU946SA7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Priscilla Sosa,https://www.amazon.com/gp/profile/amzn1.account.AHT524EOCUGCNTQ3BMDSKGZ75MVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,So good for a very low price!,https://www.amazon.com/gp/customer-reviews/R3S9VZY01C69C8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on June 12, 2022",I ordered this because I needed to decorate my graduation cap and this did not disappoint!! You get ten glue sticks and a hot glue gun for only 5$!!! And it worked perfectly! Just be careful cause it gets hot very easily! I highly recommend :)!!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3S9VZY01C69C8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Maurice & Rachel,https://www.amazon.com/gp/profile/amzn1.account.AEHXQRVWUYTIEAKZDEFFBFEGXDPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good product,https://www.amazon.com/gp/customer-reviews/R3CC3M5W2YJ8RE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 16, 2022",Good product,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3CC3M5W2YJ8RE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Gabi Allen,https://www.amazon.com/gp/profile/amzn1.account.AE6IYZ4PKLNIY6435AEWZZSQQG7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great!,https://www.amazon.com/gp/customer-reviews/R3LWSQVOE9MI5T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 9, 2022",Everything was great! i love it!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3LWSQVOE9MI5T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Hedwig603,https://www.amazon.com/gp/profile/amzn1.account.AGB6ZVYZJPZZFDKBDQTU7YB3GQIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great little glue gun,https://www.amazon.com/gp/customer-reviews/R2YSBNZDASLHNP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 3, 2022",Works well! Needed one for various little jobs and it works great!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2YSBNZDASLHNP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Mxth,https://www.amazon.com/gp/profile/amzn1.account.AEY55XSSTFR27WSO2MYNGU6LMKEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great price great product,https://www.amazon.com/gp/customer-reviews/R4XYMEM1N3VUY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 3, 2022",Super cute mini glue gun perfect for what I needed :))),5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R4XYMEM1N3VUY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
liwen xu,https://www.amazon.com/gp/profile/amzn1.account.AGPLYJWHF6RFBRV5NW6N7PTVUV5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Good product,https://www.amazon.com/gp/customer-reviews/R3S4S15RMSJWLD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on July 5, 2022","Great product, easy to use, good price!!",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R3S4S15RMSJWLD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
alicia garcia,https://www.amazon.com/gp/profile/amzn1.account.AEEMMZQ5VNGKR53DHTSKMMHDDYBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,great set to purchase,https://www.amazon.com/gp/customer-reviews/RIHXWQ5G47C4O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 20, 2022","i like this glue gun works very well, it does come with 10 glue sticks. I used it to glue on wig caps onto some mannequin heads. the glue is high quality, it is transparent. I love this set for the price. It should cost more!",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/RIHXWQ5G47C4O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Mrs Dub,https://www.amazon.com/gp/profile/amzn1.account.AESZCDU65MOXXJ6IQSJMDV7RNFDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Perfect,https://www.amazon.com/gp/customer-reviews/R2BDV1V6D1C900/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 24, 2022",Easy to use. Heats up quickly. Great for small projects that don’t require multiple heat levels. Buy extra glue because it goes quick.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2BDV1V6D1C900/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Slugger,https://www.amazon.com/gp/profile/amzn1.account.AHYYQBEVH4TR3FVURDJDYNWCUQHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Like its petite size.,https://www.amazon.com/gp/customer-reviews/R27YW72NOIU4C0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 29, 2022",Much smaller and easier to handle than my older and bigger one.,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R27YW72NOIU4C0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Edward,https://www.amazon.com/gp/profile/amzn1.account.AHC6JT5JXTCB6BFBSNTMCADDSVDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great Mini High-Temp Glue Gun,https://www.amazon.com/gp/customer-reviews/R4DH6PQGCLMZC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 10, 2020","You know what? I had my doubts.
I thought, for $4.21 there's no way this thing will even melt glue sticks let alone be a usable and functional hot glue gun.
Boy was I wrong.
I bought this as a backup to keep in the packaging for that one day when my main glue gun died on me.
I've had this now for about a month and it has gotten more use than my regular full size hot glue gun.
I've timed it a few times and it's a bit slower but it'll heat up to a useable temp in about 2 minutes and full heat in about 2:20-2:30, which in my mind is pretty quick. The glue comes out clear and at a steady rate.
The mini sticks go fast so I'd recommend looking for the 8"" ones so you're not constantly feeding them as you use it. That said the forward feed mechanism on this works great, and the trigger mechanism has a good amount of resistance to it. It does not drip like many less-expensive glue guns, and so far I've put about 25-30 glue sticks through it in the last month without issue.
I purchased the Hi-Temp version and am very happy with it - in the future I may try out the low temp version if it is available at the same price.",5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R4DH6PQGCLMZC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Bexyrae,https://www.amazon.com/gp/profile/amzn1.account.AHKLYD5GR4BP4K65HR6EGXRNP47A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,For beginners and occasional use!,https://www.amazon.com/gp/customer-reviews/R2EDH6XWJBX4TK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on October 28, 2017","This glue gun is nice. I'm starting out in wreath making and it's great for someone who's just starting out in crafts, or someone who only needs to use one every once in a while. Even though I like it, I'm gonna be buying a full sized glue gun. The main reason is because the glue sticks run out way too fast for me. I used over half the sticks included making one mini wreath (in photo). It gets the job done I'm just gonna need one that doesn't run out of glue so quickly. I found myself messing up a few times because I didn't expect it to run out mid-stream.
Anyways I don't know how inevitable the stringing is but no matter what technique I tried there was so much stringing!!! I collected them all up at the end and I'm pretty sure it wasted a full stick of string. Like I said, I don't know if that's with every glue gun but I was annoyed.
Other than those two issues (which are only annoyances) this is a neat little glue gun! It gets really hot and I like that because sometimes I needed to cover a lot of surface and it didn't dry or cool too fast. If you are working with plastic it will melt thin plastic. I did burn my finger a couple times. It has a squeaky trigger but I don't mind. For the money it's really not junky and it gets the job done!
All I'd say is if you find you're gonna use it frequently I'd buy a full size glue gun cause the glue lasts longer. You can find full sizes for super cheap as well, just keep scrolling... It's gonna be my nice little back up glue gun and I do not regret buying it. I'm just glad I started with this to find a new talent of mine.",4.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2EDH6XWJBX4TK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Ken,https://www.amazon.com/gp/profile/amzn1.account.AEI4FUDQKQYTWRXVVYK4WNB7QS3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Great glue for the small jobs,https://www.amazon.com/gp/customer-reviews/R1HOXTDY2GJQZ7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on April 8, 2022",This is an economical glue gun for the small jobs. I is high temp as advertised. Not good for the big jobs because of the small sticks. Works great for me when I need hot glue,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R1HOXTDY2GJQZ7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Fernanda,https://www.amazon.com/gp/profile/amzn1.account.AGBOIWA7QI5DZ26ZMEYWXO4J3W7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Is very little! It’s not good deal, don’t works good!",https://www.amazon.com/gp/customer-reviews/R9FIJ1I5U21DW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on June 25, 2022","The products it’s tiny, don’t works weel",3.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R9FIJ1I5U21DW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Guilherme Souza,https://www.amazon.com/gp/profile/amzn1.account.AHHSNCCZU7NVVPIOJMJGFGOVXX5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Small but very good,https://www.amazon.com/gp/customer-reviews/R34CYZT48FOM8T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 16, 2022",Small but easy to use and apparently good work done!,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R34CYZT48FOM8T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
Ezra,https://www.amazon.com/gp/profile/amzn1.account.AH3AZJQH3C7CJGSQDGLQZ6YG7ETQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,A++,https://www.amazon.com/gp/customer-reviews/R2T0HL1YI5NHK2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4,"Reviewed in the United States 🇺🇸 on May 23, 2022",Great hot glue combo pack,5.0 out of 5 stars,https://www.amazon.com/gp/customer-reviews/R2T0HL1YI5NHK2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01FIJPPN4
